0.10,0.00,0.07,0.07,0.07,0.00,0.20,0.67
0.24,0.00,0.00,0.53,0.00,0.00,0.02,0.67
0.33,0.00,0.00,0.33,0.00,0.00,0.15,1.00
0.00,0.00,0.00,0.00,0.00,0.07,1.00,1.00
0.22,0.00,0.00,0.33,0.00,0.00,0.01,1.00
0.17,0.00,0.07,0.40,0.00,0.00,0.04,1.00
0.33,0.00,0.00,0.53,0.00,0.00,0.08,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.08,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.09,1.00
0.74,0.00,0.00,0.00,0.00,0.00,0.14,0.67
0.30,0.00,0.00,0.20,0.00,0.00,0.08,1.00
0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.67
0.33,0.00,0.00,0.20,0.00,0.00,0.24,0.67
0.54,0.00,0.00,0.00,0.00,0.00,0.44,1.00
0.18,0.00,0.07,0.40,0.00,0.00,0.10,1.00
0.22,0.00,0.00,0.33,0.00,0.00,0.01,1.00
0.33,0.00,0.00,0.47,0.00,0.00,0.05,1.00
0.47,0.00,0.00,0.13,0.00,0.00,0.05,0.67
0.63,0.00,0.00,0.00,0.00,0.00,0.67,1.00
0.04,0.00,0.07,0.33,0.00,0.07,0.28,1.00
0.29,0.00,0.00,0.20,0.00,0.00,0.10,1.00
0.49,0.00,0.00,0.07,0.00,0.00,0.08,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.16,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.16,0.67
0.88,0.00,0.00,0.00,0.00,0.00,0.76,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.34,0.67
0.20,0.00,0.00,0.33,0.00,0.00,0.08,1.00
0.00,0.00,0.07,0.07,0.00,0.07,0.00,1.00
0.02,0.00,0.07,0.07,0.00,0.07,0.01,1.00
0.10,0.00,0.13,0.07,0.00,0.00,0.04,0.67
0.29,0.00,0.00,0.33,0.00,0.00,0.12,1.00
0.78,0.00,0.00,0.00,0.00,0.00,0.02,1.00
0.33,0.00,0.00,0.33,0.00,0.00,0.00,1.00
0.26,0.00,0.00,0.20,0.00,0.00,0.19,0.67
0.37,0.00,0.00,0.27,0.00,0.00,0.08,1.00
0.33,0.00,0.00,0.33,0.00,0.00,0.00,1.00
0.26,0.00,0.00,0.47,0.00,0.00,0.08,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.09,1.00
0.26,0.00,0.00,0.47,0.00,0.00,0.06,1.00
1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0.07,0.00,0.00,0.53,0.07,0.00,1.00,0.00
0.63,0.00,0.00,0.00,0.00,0.00,0.01,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.91,1.00
0.00,0.00,0.07,0.07,0.00,0.07,0.00,1.00
0.00,0.00,0.07,0.00,0.00,0.20,0.19,1.00
0.13,0.00,0.07,0.13,0.00,0.00,0.13,1.00
0.45,0.00,0.00,0.13,0.00,0.00,0.08,0.67
0.49,0.00,0.00,0.07,0.00,0.00,0.02,0.67
0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.05,0.67
0.17,0.00,0.07,0.47,0.00,0.00,0.08,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67
0.04,0.00,0.00,0.40,0.00,0.07,0.15,1.00
0.77,0.00,0.00,0.00,0.00,0.00,0.02,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.05,0.67
0.80,0.00,0.00,0.00,0.00,0.00,0.02,1.00
0.19,0.00,0.20,0.07,0.00,0.00,0.19,1.00
0.09,0.00,0.00,0.00,0.07,0.00,1.00,1.00
0.04,0.00,0.13,0.33,0.20,0.07,0.04,1.00
0.05,0.00,0.20,0.33,0.20,0.00,0.04,1.00
0.16,0.00,0.20,0.00,0.00,0.00,0.12,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.19,1.00
0.10,0.00,0.20,0.00,0.00,0.00,0.12,1.00
0.09,0.00,0.13,0.07,0.07,0.00,0.15,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.10,1.00
0.24,0.00,0.00,0.20,0.00,0.00,0.21,0.67
0.20,0.00,0.00,0.40,0.00,0.00,0.18,1.00
0.09,0.00,0.53,0.13,0.07,0.00,0.08,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.05,0.67
0.04,0.00,0.07,0.33,0.27,0.07,0.05,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.76,0.33
0.09,0.00,0.13,0.07,0.07,0.00,0.06,0.67
0.12,0.00,0.20,0.27,0.00,0.00,0.25,0.67
0.16,0.00,0.13,0.00,0.00,0.00,0.01,1.00
0.50,0.00,0.00,0.00,0.00,0.00,0.80,1.00
0.15,0.00,0.27,0.47,0.00,0.00,0.19,1.00
0.06,0.00,0.07,0.07,0.07,0.00,0.17,1.00
0.43,0.00,0.00,0.07,0.00,0.00,0.51,0.67
0.15,0.00,0.20,0.53,0.00,0.00,0.04,1.00
0.18,0.00,0.13,0.07,0.00,0.00,0.12,0.67
0.36,0.00,0.00,0.07,0.00,0.00,0.12,0.67
0.34,0.00,0.00,0.07,0.00,0.00,0.10,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.05,0.67
0.86,0.00,0.00,0.00,0.00,0.00,0.09,1.00
0.03,0.00,0.07,0.33,0.27,0.07,0.05,1.00
0.10,0.00,0.13,0.07,0.07,0.00,0.04,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.09,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.23,1.00
0.02,0.00,0.20,0.20,0.00,0.07,0.08,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.05,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.14,0.33
0.51,0.00,0.00,0.00,0.00,0.00,0.41,1.00
0.25,0.00,0.00,0.20,0.00,0.00,0.14,1.00
0.11,0.00,0.20,0.00,0.00,0.00,0.08,0.67
1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
0.17,0.00,0.20,0.53,0.00,0.00,0.04,1.00
0.06,0.00,0.20,0.00,0.07,0.00,0.07,0.67
0.10,0.00,0.20,0.07,0.00,0.00,0.03,0.67
0.67,0.00,0.00,0.00,0.00,0.00,0.15,1.00
0.06,0.00,0.07,0.07,0.13,0.00,0.04,0.67
0.08,0.00,0.27,0.27,0.20,0.00,0.03,1.00
0.50,0.00,0.00,0.00,0.00,0.00,0.07,1.00
0.43,0.00,0.00,0.07,0.00,0.00,0.10,0.67
0.50,0.00,0.00,0.07,0.00,0.00,0.07,1.00
0.50,0.00,0.00,0.07,0.00,0.00,1.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.31,1.00
1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0.02,0.00,0.13,0.67,0.00,0.07,0.07,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.09,1.00
0.13,0.00,0.27,0.20,0.00,0.00,0.23,0.67
0.08,0.00,0.13,0.27,0.07,0.00,0.33,0.67
0.14,0.00,0.27,0.00,0.00,0.00,0.02,0.67
0.07,0.00,0.20,0.20,0.07,0.00,0.08,0.67
0.52,0.00,0.00,0.00,0.00,0.00,0.15,1.00
0.06,0.00,0.07,0.07,0.07,0.00,0.08,0.67
0.07,0.00,0.27,0.40,0.07,0.00,0.08,1.00
0.94,0.00,0.00,0.00,0.00,0.00,0.26,1.00
0.15,0.00,0.13,0.07,0.00,0.00,0.05,1.00
0.73,0.00,0.00,0.00,0.00,0.00,0.41,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.76,0.33
0.06,0.00,0.00,0.07,0.07,0.00,0.21,1.00
0.11,0.00,0.20,0.00,0.00,0.00,0.05,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.15,1.00
0.46,0.00,0.00,0.07,0.00,0.00,0.10,0.67
0.05,0.00,0.47,0.07,0.20,0.00,0.03,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.06,0.67
0.16,0.00,0.20,0.00,0.00,0.00,0.12,1.00
0.13,0.00,0.27,0.00,0.00,0.00,0.02,0.67
0.19,0.00,0.07,0.33,0.00,0.00,0.42,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.31,1.00
0.15,0.00,0.13,0.00,0.00,0.00,0.01,1.00
0.07,0.00,0.07,0.07,0.13,0.00,0.07,0.67
0.13,0.00,0.33,0.07,0.00,0.00,0.11,1.00
0.83,0.00,0.00,0.00,0.00,0.00,0.09,1.00
0.06,0.00,0.13,0.07,0.07,0.00,0.31,0.67
0.15,0.00,0.13,0.13,0.00,0.00,0.31,0.67
0.05,0.00,0.27,0.53,0.00,0.07,0.07,0.67
0.08,0.00,0.07,0.27,0.07,0.00,0.11,1.00
0.18,0.00,0.13,0.07,0.00,0.00,0.12,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.05,1.00
0.03,0.00,0.27,0.20,0.40,0.07,1.00,0.00
0.81,0.00,0.00,0.00,0.00,0.00,0.73,1.00
0.02,0.00,0.13,0.47,0.00,0.13,0.18,1.00
0.09,0.00,0.00,0.00,0.07,0.00,1.00,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.14,0.33
0.15,0.00,0.33,0.13,0.00,0.00,0.25,0.67
0.02,0.00,0.13,0.13,0.07,0.07,0.14,1.00
0.24,0.00,0.00,0.20,0.00,0.00,0.10,0.67
0.98,0.00,0.00,0.00,0.00,0.00,0.11,0.67
0.03,0.00,0.20,0.40,0.00,0.13,0.14,1.00
0.05,0.00,0.33,0.13,0.13,0.07,0.09,1.00
0.23,0.00,0.00,0.33,0.00,0.00,0.07,1.00
0.25,0.00,0.00,0.47,0.00,0.00,0.03,0.67
0.04,0.00,0.13,0.00,0.20,0.07,0.00,0.33
0.23,0.00,0.00,0.27,0.00,0.00,0.07,0.67
0.37,0.00,0.00,0.27,0.00,0.00,0.19,0.67
0.93,0.00,0.00,0.00,0.00,0.00,0.08,0.67
0.04,0.00,0.00,0.00,0.27,0.07,0.03,0.67
0.13,0.00,0.07,0.40,0.00,0.00,0.10,1.00
0.31,0.00,0.00,0.33,0.00,0.00,0.46,1.00
0.15,0.00,0.20,0.27,0.00,0.00,0.03,1.00
0.04,0.00,0.13,0.00,0.20,0.07,0.00,0.33
0.27,0.00,0.00,0.47,0.00,0.00,0.03,0.67
0.02,0.00,0.07,0.20,0.27,0.13,0.02,1.00
0.19,0.00,0.07,0.07,0.00,0.00,0.38,0.67
0.87,0.00,0.00,0.00,0.00,0.00,0.36,1.00
0.77,0.00,0.00,0.00,0.00,0.00,0.03,0.67
0.17,0.00,0.07,0.20,0.00,0.00,0.21,0.67
0.13,0.00,0.20,0.27,0.00,0.00,0.03,1.00
0.22,0.00,0.00,0.13,0.00,0.00,0.21,1.00
0.27,0.00,0.00,0.47,0.00,0.00,0.03,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.26,1.00
0.93,0.00,0.00,0.00,0.00,0.00,0.16,0.67
0.13,0.00,0.13,0.33,0.00,0.00,0.22,1.00
0.08,0.00,0.07,0.07,0.13,0.00,0.10,1.00
0.04,0.00,0.20,0.07,0.27,0.07,0.02,1.00
0.29,0.00,0.00,0.33,0.00,0.00,0.14,1.00
0.03,0.00,0.00,0.33,0.07,0.07,0.15,1.00
0.12,0.00,0.13,0.07,0.00,0.00,0.04,1.00
0.13,0.00,0.13,0.33,0.00,0.00,0.22,1.00
0.56,0.00,0.00,0.00,0.00,0.00,0.36,1.00
0.09,0.00,0.13,0.07,0.07,0.00,0.07,1.00
0.03,0.00,0.20,0.27,0.00,0.07,0.18,0.67
0.11,0.00,0.27,0.00,0.00,0.00,0.10,1.00
0.24,0.00,0.00,0.27,0.00,0.00,0.07,0.67
0.61,0.00,0.00,0.00,0.00,0.00,0.49,1.00
0.10,0.00,0.13,0.07,0.00,0.00,0.20,1.00
0.70,0.00,0.00,0.00,0.00,0.00,0.46,1.00
0.33,0.00,0.00,0.20,0.00,0.00,0.01,1.00
0.09,0.00,0.00,0.07,0.07,0.00,0.48,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.14,0.67
0.19,0.00,0.07,0.40,0.00,0.00,0.14,1.00
0.39,0.00,0.00,0.60,0.00,0.00,0.08,0.33
0.32,0.00,0.00,0.20,0.00,0.00,0.01,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.15,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.27,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.15,1.00
0.80,0.00,0.00,0.00,0.00,0.00,0.03,0.67
0.05,0.00,0.33,0.20,0.07,0.07,0.14,1.00
0.10,0.00,0.13,0.00,0.07,0.00,0.04,1.00
0.02,0.00,0.13,0.13,0.33,0.07,0.02,1.00
0.07,0.00,0.00,0.00,0.33,0.00,0.06,0.67
0.31,0.00,0.00,0.73,0.00,0.00,0.08,0.33
1.00,0.00,0.00,0.00,0.00,0.00,0.35,1.00
0.01,0.00,0.13,0.20,0.13,0.13,0.01,1.00
0.13,0.00,0.20,0.20,0.00,0.00,0.18,1.00
0.07,0.00,0.20,0.07,0.07,0.00,0.13,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.14,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.48,1.00
0.10,0.00,0.20,0.07,0.07,0.00,0.11,0.67
0.03,0.00,0.20,0.40,0.07,0.07,0.18,1.00
0.33,0.00,0.00,0.33,0.00,0.00,0.22,1.00
0.10,0.00,0.07,0.20,0.00,0.00,0.21,0.67
0.06,0.00,0.13,0.20,0.07,0.00,0.15,1.00
0.35,0.00,0.00,0.13,0.00,0.00,0.15,1.00
0.77,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0.01,0.00,0.13,0.13,0.13,0.13,0.01,1.00
0.01,0.00,0.07,0.13,0.20,0.13,0.02,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.08,0.67
0.09,0.00,0.00,0.00,0.07,0.00,0.49,1.00
0.07,0.00,0.13,0.00,0.13,0.00,0.10,1.00
0.04,0.00,0.07,0.00,0.20,0.07,0.06,0.67
0.61,0.00,0.00,0.00,0.00,0.00,1.00,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.11,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.17,0.67
0.06,0.00,0.20,0.13,0.13,0.00,0.18,1.00
0.04,0.00,0.07,0.00,0.13,0.13,0.03,0.67
0.23,0.00,0.00,0.13,0.00,0.00,0.21,1.00
0.23,0.00,0.00,0.20,0.00,0.00,0.09,1.00
0.03,0.00,0.27,0.33,0.07,0.07,0.12,1.00
0.20,0.00,0.07,0.33,0.00,0.00,0.18,0.67
0.19,0.00,0.07,0.20,0.00,0.00,0.13,0.67
0.19,0.00,0.07,0.13,0.00,0.00,0.25,1.00
0.07,0.00,0.07,0.00,0.13,0.00,0.07,1.00
0.23,0.00,0.00,0.33,0.00,0.00,0.07,1.00
0.02,0.00,0.20,0.13,0.20,0.13,0.06,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.62,1.00
0.19,0.00,0.07,0.13,0.00,0.00,0.20,1.00
0.21,0.00,0.00,0.33,0.00,0.00,0.25,1.00
0.05,0.00,0.47,0.73,0.27,0.00,0.02,0.67
0.32,0.00,0.00,0.07,0.00,0.00,1.00,0.67
0.30,0.00,0.00,0.13,0.00,0.00,0.10,1.00
0.13,0.00,0.20,0.33,0.00,0.00,0.07,1.00
0.56,0.00,0.00,0.00,0.00,0.00,0.36,1.00
0.04,0.00,0.67,0.60,0.13,0.07,0.13,1.00
0.27,0.00,0.00,0.40,0.00,0.00,0.21,0.67
0.08,0.00,0.07,0.20,0.13,0.00,0.21,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.39,0.67
0.07,0.00,0.53,0.80,0.13,0.00,0.08,1.00
0.21,0.00,0.00,0.27,0.00,0.00,0.10,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.64,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.11,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.04,0.67
0.34,0.00,0.00,0.13,0.00,0.00,0.13,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.89,1.00
0.32,0.00,0.00,0.07,0.00,0.00,0.79,1.00
0.01,0.00,0.07,0.20,0.13,0.13,0.01,0.67
0.19,0.00,0.07,0.47,0.00,0.00,0.07,1.00
0.65,0.00,0.00,0.00,0.00,0.00,0.07,1.00
0.14,0.00,0.07,0.07,0.00,0.00,0.23,1.00
0.06,0.00,0.67,0.80,0.13,0.00,0.04,0.67
0.10,0.00,0.40,0.07,0.07,0.00,0.27,1.00
0.03,0.00,0.27,0.93,0.07,0.20,0.10,1.00
0.00,0.00,0.07,0.00,0.00,0.07,0.13,1.00
0.39,0.00,0.00,0.13,0.00,0.00,0.10,1.00
0.00,0.00,0.07,0.07,0.00,0.07,0.12,1.00
0.25,0.00,0.00,0.27,0.00,0.00,0.05,0.67
0.64,0.00,0.00,0.00,0.00,0.00,0.04,0.67
0.07,0.00,0.27,1.00,0.13,0.00,0.02,1.00
0.04,0.00,0.67,0.60,0.20,0.07,0.09,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.89,1.00
0.75,0.00,0.00,0.00,0.00,0.00,0.06,1.00
0.58,0.00,0.00,0.00,0.00,0.00,0.88,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.64,1.00
0.21,0.00,0.00,0.13,0.00,0.00,1.00,0.00
0.03,0.00,0.60,0.60,0.27,0.07,0.09,0.67
0.69,0.00,0.00,0.00,0.00,0.00,0.06,1.00
0.01,0.00,0.33,1.00,0.07,0.20,0.08,0.67
0.07,0.00,0.47,0.80,0.13,0.00,0.15,0.67
1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0.13,0.00,0.27,1.00,0.00,0.00,0.14,0.67
1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
0.25,0.00,0.00,0.27,0.00,0.00,0.06,0.67
0.06,0.00,0.47,0.80,0.20,0.00,0.24,1.00
0.28,0.00,0.00,0.20,0.00,0.00,0.17,0.67
0.76,0.00,0.00,0.00,0.00,0.00,0.97,1.00
0.10,0.00,0.53,1.00,0.00,0.00,1.00,0.00
0.07,0.00,0.27,1.00,0.13,0.00,0.02,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.11,0.67
0.09,0.00,0.00,0.33,0.07,0.00,0.01,1.00
0.66,0.00,0.00,0.00,0.00,0.00,0.04,0.67
0.60,0.00,0.00,0.00,0.00,0.00,0.38,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.25,1.00
0.01,0.00,0.07,0.20,0.13,0.13,0.01,0.67
0.82,0.00,0.00,0.00,0.00,0.00,1.00,1.00
0.76,0.00,0.00,0.00,0.00,0.00,0.66,0.67
0.64,0.00,0.00,0.00,0.00,0.00,0.07,1.00
0.04,0.00,0.07,0.13,0.20,0.07,0.06,1.00
0.08,0.00,0.00,0.33,0.07,0.00,0.01,1.00
0.10,0.00,0.20,0.00,0.00,0.00,0.12,1.00
0.05,0.00,0.60,0.67,0.20,0.00,0.09,1.00
0.20,0.00,0.07,0.33,0.00,0.00,0.10,1.00
0.01,0.00,0.27,1.00,0.13,0.13,0.04,0.67
0.06,0.00,0.33,0.93,0.20,0.00,0.07,1.00
0.28,0.00,0.00,0.07,0.00,0.00,0.18,1.00
0.00,0.00,0.33,0.93,0.27,0.07,0.08,0.67
0.25,0.00,0.00,1.00,0.00,0.00,0.34,0.67
0.09,0.00,0.60,0.87,0.13,0.00,0.04,0.67
0.00,0.00,0.27,0.93,0.20,0.07,0.08,1.00
0.32,0.00,0.00,0.27,0.00,0.00,0.17,0.67
0.01,0.00,0.07,0.20,0.07,0.13,0.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.04,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.25,1.00
0.03,0.00,0.20,0.07,0.13,0.07,0.06,1.00
0.07,0.00,0.47,0.80,0.13,0.00,0.03,1.00
0.10,0.00,0.13,0.00,0.00,0.00,0.13,1.00
0.07,0.00,0.40,0.80,0.27,0.00,0.02,0.67
0.03,0.00,0.47,0.80,0.13,0.07,0.07,1.00
0.32,0.00,0.00,0.67,0.00,0.00,1.00,0.00
0.69,0.00,0.00,0.00,0.00,0.00,0.57,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.57,1.00
0.21,0.00,0.00,0.33,0.00,0.00,0.05,0.67
0.09,0.00,0.67,0.73,0.07,0.00,0.08,1.00
0.03,0.00,0.13,0.13,0.13,0.13,0.04,0.67
0.20,0.00,0.07,0.20,0.00,0.00,0.06,0.67
0.21,0.00,0.00,0.07,0.00,0.00,0.18,1.00
0.01,0.00,0.07,0.20,0.07,0.13,0.00,1.00
0.03,0.00,0.33,0.93,0.13,0.13,0.04,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.61,1.00
0.20,0.00,0.07,0.07,0.00,0.00,0.11,1.00
0.96,0.00,0.00,0.00,0.00,0.00,0.20,0.67
0.36,0.00,0.00,0.47,0.00,0.00,0.09,0.67
0.08,0.00,0.13,0.07,0.07,0.00,0.06,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.14,0.67
0.02,0.00,0.07,0.07,0.00,0.13,0.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.35,0.67
0.95,0.00,0.00,0.00,0.00,0.00,0.87,0.67
0.32,0.00,0.00,0.73,0.00,0.00,0.07,0.67
0.19,0.00,0.13,0.33,0.00,0.00,0.11,1.00
0.95,0.00,0.00,0.00,0.00,0.00,0.41,1.00
0.67,0.00,0.00,0.00,0.00,0.00,0.32,1.00
0.14,0.00,0.13,0.07,0.00,0.00,0.12,1.00
0.13,0.00,0.20,0.20,0.00,0.00,0.04,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.30,1.00
0.12,0.00,0.13,0.27,0.00,0.00,0.23,0.67
0.24,0.00,0.00,0.53,0.00,0.00,0.12,1.00
0.23,0.00,0.00,0.40,0.00,0.00,0.24,1.00
0.32,0.00,0.00,0.33,0.00,0.00,0.01,1.00
0.11,0.00,0.33,0.13,0.00,0.00,0.05,1.00
0.19,0.00,0.13,0.27,0.00,0.00,0.08,1.00
0.32,0.00,0.00,0.20,0.00,0.00,0.18,1.00
0.31,0.00,0.00,0.40,0.00,0.00,0.06,1.00
0.15,0.00,0.13,0.33,0.00,0.00,0.05,1.00
0.32,0.00,0.00,0.33,0.00,0.00,0.35,1.00
0.12,0.00,0.13,0.33,0.00,0.00,0.08,1.00
0.17,0.00,0.07,0.20,0.00,0.00,0.22,0.33
1.00,0.00,0.00,0.00,0.00,0.00,0.16,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.25,1.00
0.18,0.00,0.07,0.20,0.00,0.00,0.10,1.00
0.41,0.00,0.00,0.07,0.00,0.00,0.13,1.00
0.55,0.00,0.00,0.00,0.00,0.00,0.03,1.00
0.16,0.00,0.20,0.27,0.00,0.00,0.05,1.00
0.27,0.00,0.00,0.33,0.00,0.00,0.03,1.00
0.72,0.00,0.00,0.00,0.00,0.00,0.17,1.00
0.21,0.00,0.00,0.20,0.00,0.00,0.12,1.00
0.22,0.00,0.00,0.40,0.00,0.00,0.08,1.00
0.29,0.00,0.00,0.13,0.00,0.00,0.16,1.00
0.33,0.00,0.00,0.20,0.00,0.00,0.03,1.00
0.14,0.00,0.07,0.20,0.00,0.00,0.10,1.00
0.36,0.00,0.00,0.20,0.00,0.00,0.04,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.09,1.00
0.36,0.00,0.00,0.20,0.00,0.00,0.03,1.00
0.11,0.00,0.13,0.33,0.00,0.00,0.06,1.00
0.02,0.00,0.07,0.07,0.00,0.13,0.00,1.00
0.40,0.00,0.00,0.07,0.00,0.00,0.16,1.00
0.38,0.00,0.00,0.20,0.00,0.00,0.03,1.00
0.56,0.00,0.00,0.00,0.00,0.00,0.03,1.00
0.12,0.00,0.13,0.27,0.00,0.00,0.04,0.67
0.12,0.00,0.13,0.40,0.00,0.00,0.08,1.00
0.55,0.00,0.00,0.00,0.00,0.00,0.18,1.00
0.95,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0.02,0.00,0.00,0.00,0.13,0.13,0.03,1.00
0.86,0.00,0.00,0.00,0.00,0.00,0.22,1.00
0.10,0.00,0.13,0.20,0.00,0.00,1.00,0.00
0.39,0.00,0.00,0.73,0.00,0.00,0.07,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.09,1.00
0.21,0.00,0.00,0.40,0.00,0.00,0.10,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.13,1.00
0.05,0.00,0.07,0.33,0.00,0.07,0.08,1.00
0.06,0.00,0.00,0.07,0.20,0.00,0.09,1.00
0.40,0.00,0.00,0.13,0.00,0.00,0.19,1.00
0.47,0.00,0.00,0.07,0.00,0.00,0.09,1.00
0.05,0.00,0.07,0.00,0.07,0.13,0.03,1.00
0.53,0.00,0.00,0.00,0.00,0.00,0.44,1.00
0.22,0.00,0.00,0.40,0.00,0.00,0.12,1.00
1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.25,1.00
0.33,0.00,0.00,0.33,0.00,0.00,0.01,1.00
0.56,0.00,0.00,0.00,0.00,0.00,0.08,1.00
0.89,0.00,0.00,0.00,0.00,0.00,0.28,0.67
0.28,0.00,0.00,0.33,0.00,0.00,0.03,1.00
0.32,0.00,0.00,0.27,0.00,0.00,0.18,1.00
0.10,0.00,0.00,0.00,0.07,0.00,1.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.44,0.67
0.13,0.00,0.20,0.27,0.00,0.00,0.04,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.24,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.16,1.00
0.25,0.00,0.00,0.20,0.00,0.00,0.18,1.00
0.68,0.00,0.00,0.00,0.00,0.00,0.17,1.00
0.36,0.00,0.00,0.27,0.00,0.00,0.28,1.00
0.18,0.00,0.07,0.40,0.00,0.00,0.05,1.00
0.38,0.00,0.00,0.27,0.00,0.00,0.04,1.00
0.71,0.00,0.00,0.00,0.00,0.00,0.28,0.67
0.30,0.00,0.00,0.47,0.00,0.00,0.03,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.31,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.14,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.56,1.00
0.17,0.00,0.13,0.33,0.00,0.00,0.04,0.67
0.10,0.00,0.20,0.07,0.07,0.00,0.15,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.35,0.67
0.10,0.00,0.00,0.00,0.07,0.00,1.00,1.00
0.10,0.00,0.07,0.27,0.00,0.00,0.22,0.33
0.05,0.00,0.13,0.33,0.00,0.07,0.08,1.00
0.27,0.00,0.00,0.47,0.00,0.00,0.03,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.72,1.00
0.55,0.00,0.00,0.00,0.00,0.00,1.00,1.00
0.47,0.00,0.00,0.20,0.00,0.00,0.08,1.00
0.03,0.00,0.07,0.33,0.00,0.13,0.03,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.34,1.00
0.84,0.00,0.00,0.00,0.00,0.00,0.67,1.00
0.12,0.00,0.20,0.47,0.00,0.00,0.16,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.85,0.67
0.24,0.00,0.00,0.20,0.00,0.00,0.11,0.67
0.04,0.00,0.07,0.13,0.00,0.07,0.06,1.00
0.50,0.00,0.00,0.00,0.00,0.00,0.08,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.21,0.67
